,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
4461,2019-04-15,"76 COLLINSWOOD, COLLINS AVE, DUBLIN 9",Dublin 9,Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.233452900000001,53.3810371,76,Collinswood,,,County Dublin,
4462,2019-04-15,"78 THE SQUARE, LARCH HILL, OSCAR TRAYNOR ROAD",,Dublin,277000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2276792,53.3986934,78,The Square,,,County Dublin,
4463,2019-04-15,"8 GARLAND COURT, CHURCH ST, HOWTH",Dublin 13,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.065936199999999,53.3867664,,Church Street,,,County Dublin,
4464,2019-04-15,"81 RUSHEENEY AVE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,286500.0,No,No,Second-Hand Dwelling house /Apartment,,-6.422244099999999,53.3990684,81,Rusheeney Avenue,,,County Dublin,D15 HRR0
4465,2019-04-15,"87 BALLYFERMOT AVE BALLYFERMOT, DUBLIN 10, DUBLIN",Dublin 10,Dublin,236000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3508713,53.3395629,87,Ballyfermot Avenue,Kylemore,Dublin 10,County Dublin,D10 TK71
4466,2019-04-15,"8A THE WOODLANDS, RATHFARNHAM CASTLE, DUBLIN 14",Dublin 14,Dublin,380000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2821184,53.2976985,10A,The Woodlands,,Dublin 14,County Dublin,
4467,2019-04-15,"9 The Place, Citywest Village, Citywest",,Dublin,304843.61,No,Yes,New Dwelling house /Apartment,,-6.420862,53.2882934,,Citywest Road,,,County Dublin,
4468,2019-04-15,"91 FOXFIELD GROVE, RAHENY, DUBLIN 5",Dublin 5,Dublin,585000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1591311,53.383641,91,Foxfield Grove,Donaghmede,Dublin 5,County Dublin,D05 F753
4469,2019-04-15,"95 PATRICIAN VILLAS, STILLORGAN, CO DUBLIN",,Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1976548,53.2917438,95,Patrician Villas,Stillorgan,,County Dublin,A94 DP99
4470,2019-04-15,"97 HOLYWELL DR, SWORDS, DUBLIN",,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.213058999999999,53.4453848,97,Holywell Drive,Barrysparks,,County Dublin,
4471,2019-04-15,"APT 1 GLENBRAE HOUSE, GLENBRAE COURT, SHANKILL",Dublin 18,Dublin,175000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.116482299999999,53.2384226,,Corbawn Lawn,,Dublin 18,County Dublin,
4472,2019-04-15,"APT. 5 THE LAUREL, GRATTAN WOOD, HOLE IN THE THE WALL ROAD",,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,,-122.4827859,38.419253,,Wall Road,,,California,
4473,2019-04-15,"NEWGRANGE GATE LODGE, BARNASLINGAN LANE, KILTERNAN",,Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.181157799999999,53.2269951,,Barnaslingan Lane,Johnstown,,County Dublin,
4474,2019-04-15,"NEWGRANGE, BARNASLINGAN LANE, KILTERNAN",Dublin 18,Dublin,1250000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.181157799999999,53.2269951,,Barnaslingan Lane,Johnstown,,County Dublin,
4475,2019-04-16,"1 STEWART VILLAS, CARLINGFORD PARADE, DUBLIN 2",Dublin 2,Dublin,502000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2424052,53.3404269,,Carlingford Parade,,Dublin 2,County Dublin,
4476,2019-04-16,"101 KILCRONAN AVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,21771.13,Yes,No,Second-Hand Dwelling house /Apartment,,-6.4280661,53.3286633,101,Kilcronan Avenue,Kilmahuddrick,Dublin 22,County Dublin,D22 Y097
4477,2019-04-16,"102 Residential Houses, St Edmunds, Palmerstown",Dublin 20,Dublin,34188546.26,No,Yes,New Dwelling house /Apartment,,,,,,,,,
4478,2019-04-16,"102 SHANDON PARK, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,565000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2808449,53.365938,102,Shandon Park,,,County Dublin,D07 FN77
4479,2019-04-16,"106 THE CASINO, MALAHIDE, DUBLIN",,Dublin,510000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1584993,53.4511061,,Dublin Road,Malahide,,County Dublin,
4480,2019-04-16,"12 COMPASS COURT SOUTH, ROYAL CANAL PARK, DUBLIN 15",Dublin 15,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.317745500000001,53.37592069999999,,Royal Canal Avenue,,Dublin 15,County Dublin,
4481,2019-04-16,"12 Rathborne Walk, Royal Canal Park, Ratoath Rd Ashtown",Dublin 15,Dublin,356828.19,No,Yes,New Dwelling house /Apartment,,-6.319331,53.3769601,12,Rathborne Walk,,,County Dublin,
4482,2019-04-16,"13 BENEAVIN PARK, FINGLAS EAST, DUBLIN 11",Dublin 11,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2839314,53.3899346,13,Beneavin Park,,,County Dublin,D11 A9K8
4483,2019-04-16,"14 Inglenook Wood, Glenamuck Road, Carrickmines",,Dublin,638766.5,No,Yes,New Dwelling house /Apartment,,-6.1861997,53.24546110000001,,Glenamuck Road,,,County Dublin,
4484,2019-04-16,"15 COLTHURST MEWS, HUNTINGTON GLEN, LUCAN",,Dublin,310000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4191746,53.34726,15,Colthurst Mews,Ballyowen,,County Dublin,K78 YK06
4485,2019-04-16,"16 Diswellstown Court, Castleknock",Dublin 15,Dublin,499000.0,No,Yes,New Dwelling house /Apartment,,-6.3846305,53.36732749999999,16,Diswellstown Court,Diswellstown,,County Dublin,
4486,2019-04-16,"17 HOLYWELL SQ, SWORDS, DUBLIN",,Dublin,255000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2079391,53.44671049999999,17,Holywell Square,,,County Dublin,K67 YD73
4487,2019-04-16,"17 ROCKVILLE CRESCENT, NEWTOWNPARK AVE, BLACKROCK",,Dublin,550000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1713397,53.290314,17,Rockville Road,Newtown Castlebyrn,,County Dublin,A94 CD34
4488,2019-04-16,"17D ALLEN HALL, BELGARD SQUARE WEST, TALLAGHT",,Dublin,230000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.375344999999999,53.2868718,,Belgard Square West,Tallaght,,County Dublin,
4489,2019-04-16,"18 Enderly, Cunningham Drive, Dalkey",,Dublin,2070485.0,No,Yes,New Dwelling house /Apartment,,-6.1061184,53.2737106,,Cunningham Drive,Dalkey,,County Dublin,
4490,2019-04-16,"19 APPLEWOOD DR, APPLEWOOD VILLAGE, SWORDS",,Dublin,188402.5,No,No,Second-Hand Dwelling house /Apartment,,-6.2341717,53.4702584,19,Applewood Drive,Broadmeadow,,County Dublin,
4491,2019-04-16,"194 BUSHY PARK HOUSE, TEMPLEOGUE RD, DUBLIN 6W",,Dublin,480000.0,No,No,Second-Hand Dwelling house /Apartment,,,,,,,,,
4492,2019-04-16,"2 BEECHFIELD GREEN, CLONEE, DUBLIN 15",Dublin 15,Dublin,277000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4375525,53.4030046,2,Beechfield Green,Littlepace,,County Dublin,
4493,2019-04-16,"20 CASTLEVIEW HEIGHTS, SWORDS, CO DUBLIN",,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.238664699999999,53.4741961,20,Castleview Heights,Broadmeadow,,County Dublin,K67 K272
4494,2019-04-16,"20 GLENTOW RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,260000.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.246888299999999,53.3875582,20,Glentow Road,Whitehall,Dublin 9,County Dublin,D09 W923
4495,2019-04-16,"203 TRIMBLESTON, GOATSTOWN RD, CLONSKEAGH DUBLIN 14",Dublin 14,Dublin,580000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2315228,53.2983908,,Goatstown Road,Friarland,Dublin 14,County Dublin,
4496,2019-04-16,"23 CHANNEL ROAD, RUSH, COUNTY DUBLIN",,Dublin,315000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.109736499999999,53.51825909999999,23,Channel Road,Rush,,County Dublin,K56 VK19
4497,2019-04-16,"24 BANCROFT AVE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.353042299999999,53.2906486,24,Bancroft Avenue,Tallaght,Dublin 24,County Dublin,D24 HPC6
4498,2019-04-16,"24 TANDY COURT, RIALTO, DUBLIN 8",Dublin 8,Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2752327,53.34052,,Spitalfields,The Liberties,Dublin 8,County Dublin,
4499,2019-04-16,"3 HADDINGTON PARK, GLENAGEARY, DUBLIN",,Dublin,850000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1221965,53.2782464,3,Haddington Park,,,County Dublin,A96 V1W9
4500,2019-04-16,"3 LOCK KEEPERS WALK, ROYAL CANAL PARK DUBLIN 15, DUBLIN",Dublin 15,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.316215,53.37727400000001,,,,Dublin 15,County Dublin,
4501,2019-04-16,"3 SAULS COURT, COWS LANE, DUBLIN 2",Dublin 8,Dublin,303000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2687139,53.34416359999999,,Cow's Lane,Temple Bar,Dublin 8,County Dublin,D08 RR82
4502,2019-04-16,"32 HARBOUR VIEW, ST LAURENCES RD, HOWTH",Dublin 13,Dublin,583500.0,No,No,Second-Hand Dwelling house /Apartment,,-6.0676216,53.3865044,32,Harbour View,,,County Dublin,
4503,2019-04-16,"32 PHIBBELSTOWN HOUSE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,225000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.436471,53.3993929,,Phibblestown Avenue,,Dublin 15,County Dublin,
4504,2019-04-16,"37 INGLEWOOD RD, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,235000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.409372299999999,53.39000919999999,37,Inglewood Road,Clonsilla,,County Dublin,D15 DA5F
4505,2019-04-16,"38 ALLENDALE RISE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,294000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.428021900000001,53.3930867,38,Allendale Rise,Clonsilla,,County Dublin,D15 A3X0
4506,2019-04-16,"38 ST BRENDANS DRIVE, COOLOCK, DUBLIN 5",Dublin 5,Dublin,455000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1983834,53.3868471,38,Saint Brendan's Drive,Donaghmede,Dublin 5,County Dublin,D05 F9P5
4507,2019-04-16,"381 COLLINSWOOD, DUBLIN 9, DUBLIN",Dublin 9,Dublin,424000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.237432999999999,53.3815134,381,Collins Avenue,,Dublin 9,County Dublin,D09 X8N2
4508,2019-04-16,"39 CORBAWN DR, SHANKILL, DUBLIN",Dublin 18,Dublin,535000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1127358,53.2336774,39,Corbawn Drive,,Dublin 18,County Dublin,D18 DY28
4509,2019-04-16,"39 RATH GEAL, DEANSRATH, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.424231799999999,53.3202192,,,Deansrath,,County Dublin,
4510,2019-04-16,"421 BALLYFERMOT RD, DUBLIN 10, DUBLIN",Dublin 10,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3628211,53.342696,421,Ballyfermot Road,Cherry Orchard,Dublin 10,County Dublin,D10 XV24
4511,2019-04-16,"45 BELCLARE GROVE, POPPINTREE, DUBLIN 11",Dublin 11,Dublin,210000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2806947,53.4003469,45,Belclare Grove,Ballymun,Dublin 11,County Dublin,D11 H290
4512,2019-04-16,"49 AILESBURY RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,6750000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2219345,53.3196941,49,Ailesbury Road,Ballsbridge,,County Dublin,D04 V6X0
4513,2019-04-16,"49 DAVIS COURT, THOMAS ST, INCHICORE DUBLIN 8",Dublin 8,Dublin,207500.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3201655,53.3375395,,Thomas Davis Street West,Inchicore,Dublin 8,County Dublin,
4514,2019-04-16,"5 CLONSHAUGH LAWN, DUBLIN 17, DUBLIN",Dublin 17,Dublin,46639.29,Yes,No,Second-Hand Dwelling house /Apartment,,-6.206376,53.4050705,5,Clonshaugh Lawn,Clonshagh,,County Dublin,D17 KN82
4515,2019-04-16,"5 DODDER COURT, DODDER VALLEY PARK, FIRHOUSE DUBLIN 24",Dublin 24,Dublin,360000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.347832599999999,53.2786369,5,Dodder Court,,Dublin 24,County Dublin,
4516,2019-04-16,"51 SLADE CASTLE COURT, SAGGART, CO.DUBLIN",,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.445704399999999,53.2792496,51,Slade Castle Court,Moneyatta Commons,,County Dublin,
4517,2019-04-16,"57 MCKEE RD, FINGLAS, DUBLIN 11",Dublin 11,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3002951,53.39299880000001,57,McKee Avenue,,Dublin 11,County Dublin,D11 T9V3
4518,2019-04-16,"6 SANDYFORD VIEW, BLACKGLEN RD, SANDYFORD DUBLIN 18",Dublin 18,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2401665,53.2700105,6,Sandyford View,,,County Dublin,
4519,2019-04-16,"63 MOUNT ANDREW RISE, LUCAN, DUBLIN",,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4089327,53.357757,63,Mount Andrew Rise,Yellow Walls,,County Dublin,K78 EY02
4520,2019-04-16,"66 CLIFDEN ROAD, BALLYFERMOT, DUBLIN 10",,Dublin,230000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3614384,53.338702,66,Clifden Road,Cherry Orchard,Dublin 10,County Dublin,D10 RF83
4521,2019-04-16,"7 CRANNAGH WAY, RATHFARNHAM, DUBLIN 14",,Dublin,760000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.275246399999999,53.3014918,7,Crannagh Way,Rathfarnham,,County Dublin,D14 K4C9
4522,2019-04-16,"7 FERNS ROAD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,232500.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.2966421,53.3219826,7,Ferns Road,,Dublin 12,County Dublin,D12 E2Y4
4523,2019-04-16,"7 HENRIETTA HALL, HENRIETTA ST, DUBLIN 1",Dublin 1,Dublin,140000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2702534,53.3524615,14,Henrietta Street,,Dublin 1,County Dublin,D01 HH34
4524,2019-04-16,"7 MILLBROOK, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,208000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3693751,53.35159669999999,,,Redcowfarm,Dublin 20,County Dublin,
4525,2019-04-16,"71 BAYSIDE WALK, SUTTON, DUBLIN 13",Dublin 13,Dublin,442000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.139139399999999,53.3914425,71,Bayside Walk,Baldoyle,Dublin 13,County Dublin,D13 R867
4526,2019-04-16,"85 MONASTERY WALK, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,290000.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.385387799999999,53.3230286,85,Monastery Walk,Yellowmeadows,Dublin 22,County Dublin,D22 HY54
4527,2019-04-16,"86 SNOWDROP WALK, DARNDALE, DUBLIN 17",Dublin 17,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1872852,53.4018327,86,Snowdrop Walk,Priorswood,Dublin 17,County Dublin,D17 P449
4528,2019-04-16,"8A HAMPTON STREET, BALBRIGGAN, COUNTY DUBLIN",,Dublin,46379.08,No,No,Second-Hand Dwelling house /Apartment,,-6.1818522,53.608339,8,Hampton Street,Balbriggan,,County Dublin,K32 HD86
4529,2019-04-16,"8A HAMPTON STREET, BALBRIGGAN, COUNTY DUBLIN",,Dublin,92758.17,No,No,Second-Hand Dwelling house /Apartment,,-6.1818522,53.608339,8,Hampton Street,Balbriggan,,County Dublin,K32 HD86
4530,2019-04-16,"8B HAMPTON STREET, BALBRIGGAN, COUNTY DUBLIN",,Dublin,92758.16,No,No,Second-Hand Dwelling house /Apartment,,-6.1818522,53.608339,8,Hampton Street,Balbriggan,,County Dublin,K32 HD86
4531,2019-04-16,"9 BOLBROOK DR, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3431409,53.2860919,9,Bolbrook Drive,Tymon South,Dublin 24,County Dublin,D24 PV3Y
4532,2019-04-16,"9 JULIET SQ, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,34188546.26,No,No,Second-Hand Dwelling house /Apartment,,-6.407882499999999,53.35422399999999,,Saint Edmunds Park,Yellow Walls,,County Dublin,
