Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"08/01/2019","14 Dodderbrook Walk, Dodderbrook  Oldcourt road, Ballycullen","","Dublin","€350,220.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2019","17 BELFRY DR, CITYWEST DUBLIN 24, DUBLIN","Dublin 24","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","174 TRIMBLESTON, GOATSTOWN RD, DUBLIN 14","Dublin 14","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","23 EDEN VILLAS, GLASTHULE, DUBLIN","","Dublin","€525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","24 SYCAMORE RD, DUNDRUM, DUBLIN 16","Dublin 16","Dublin","€585,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","278 MOURNE RD, DRIMNAGH, DUBLIN CITY","Dublin 12","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","28 MAIN ST, HOWTH, DUBLIN","Dublin 13","Dublin","€675,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","3 Elder Heath Green, Elder Heath, Kiltipper Road","","Dublin","€268,722.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2019","30 LANESBOROUGH DR ST MARGARETS, DUBLIN 11, DUBLIN","Dublin 15","Dublin","€262,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","33 HAMPTON, SANTRY CROSS, BALLYMUN DUBLIN 9","Dublin 11","Dublin","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","4 ANNADALE CRESENT, MARINO, DUBLIN 9","Dublin 9","Dublin","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","48 Larkfield Heath, Clay Farm, Stillorgan","","Dublin","€502,202.64","No","Yes","New Dwelling house /Apartment",""
"08/01/2019","5 Dodderbrook Glade, Ballycullen, Dublin 24","","Dublin","€405,286.34","No","Yes","New Dwelling house /Apartment",""
"08/01/2019","54 PEMBROKE COTTAGES, DONNYBROOK, DUBLIN 4","Dublin 4","Dublin","€412,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","57 Adamstown Park, St. Helen's, Adamstown","","Dublin","€308,370.04","No","Yes","New Dwelling house /Apartment",""
"08/01/2019","6 BELARMINE PARK, ENNISKERRY RD, STEPASIDE DUBLIN 18","Dublin 18","Dublin","€825,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","67 COWPER RD, RATHMINES, DUBLIN 6","Dublin 6","Dublin","€1,115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","7 Stanford Park, Westminster Road, Foxrock","Dublin 18","Dublin","€1,004,406.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","1 ALBERT RD LOWER, SANDYCOVE, DUBLIN","","Dublin","€836,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","1 CASTLEBYRNE PARK, BLACKROCK, DUBLIN","","Dublin","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","11 St. Helen's Walk, St. Helen's, Adamstown","","Dublin","€330,396.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","12 COMYN MANOR, SEATOWN ROAD, SWORDS","","Dublin","€418,502.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","12 ST BRIGIDS COTTAGES, CLONDALKIN, DUBLIN","Dublin 22","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","13 MAYSTON SQUARE, ST MARGARETS, DUBLIN 11","Dublin 11","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","15 Beresford Crescent, Donabate","","Dublin","€378,854.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","15 COMYN MANOR, SEATOWN ROAD, SWORDS","","Dublin","€418,502.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","152 WATERVILLE TERRACE, BLANCHARDSTOWN DUBLIN 15, DUBLIN","Dublin 15","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","155 BALLYFERMOT RD, BALLYFERMOT, DUBLIN","Dublin 10","Dublin","€195,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","19 SILVERWOOD ROAD, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€520,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","2 BEAUMONT HALL, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","22 OFFINGTON AVENUE, SUTTON, DUBLIN 13","Dublin 13","Dublin","€745,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","26 Beechwood Heath, Beechwood, Hansfield","Dublin 15","Dublin","€281,938.32","No","Yes","New Dwelling house /Apartment",""
