ID,Latitude,Longitude,Type
8210B1340202,52.86533978,-6.558513471,Bus Stop
8210B1340201,52.86522153,-6.55839857,Bus Stop
8210B3555602,52.80293551,-6.736165147,Bus Stop
8210B3555601,52.80293551,-6.736165147,Bus Stop
8210B3555603,52.80293567,-6.736179974,Bus Stop
8210B3555604,52.80312326,-6.736070716,Bus Stop
8210B3511802,52.68474312,-6.690296676,Bus Stop
8210B3511801,52.68504439,-6.690716605,Bus Stop
821000003,52.83313039,-6.933344928,Bus Stop
821000007,52.73669291,-6.975816384,Bus Stop
821000008,52.73670343,-6.975993837000001,Bus Stop
821000009,52.69993973,-6.968539268,Bus Stop
821000010,52.70011099,-6.968594414,Bus Stop
821000012,52.70148288,-6.958959245,Bus Stop
821000013,52.70148561,-6.959269902999999,Bus Stop
821000016,52.80924385,-6.727616247,Bus Stop
821000017,52.80930802,-6.7277330389999985,Bus Stop
821000018,52.80440315,-6.744873217,Bus Stop
821000019,52.80450277,-6.744944506,Bus Stop
821000022,52.82173408,-6.877850846,Bus Stop
821000023,52.82185974,-6.8778327710000005,Bus Stop
8210B351711,52.73968168,-6.7701178220000005,Bus Stop
8210B351721,52.73973498,-6.770057082999999,Bus Stop
8210B136311,52.80305074,-6.736013494,Bus Stop
8210000198,52.74241196,-6.771640481,Bus Stop
8210B154001,52.80465809,-6.732496267999999,Bus Stop
8210000199,52.83860271,-6.927199445,Bus Stop
8210B136061,52.82998118,-6.935974554,Bus Stop
821000001,52.84215781,-6.916839649,Bus Stop
821000002,52.84211848,-6.916469524,Bus Stop
821000004,52.68338292,-6.685160659,Bus Stop
821000005,52.68338994,-6.684982961,Bus Stop
8210B351441,52.68500779,-6.690658535,Bus Stop
8210B136231,52.86537499,-6.558452892999999,Bus Stop
8210B136211,52.8805507,-6.695561919,Bus Stop
8210B1360700,52.73553145,-6.987097575,Bus Stop
8210B1360701,52.73553145,-6.987097575,Bus Stop
8210B153991,52.80484319,-6.732995164,Bus Stop
8210B1360801,52.70299802,-6.985468728,Bus Stop
8220DB001738,53.36345088,-6.223914334,Bus Stop
8220DB007516,53.40207591,-6.171727025,Bus Stop
8220DB000592,53.38273301,-6.148382872000001,Bus Stop
8220DB001228,53.39242898,-6.218512737,Bus Stop
8220DB001237,53.39267868,-6.218983472000001,Bus Stop
8220DB000497,53.35052608,-6.250694342999999,Bus Stop
8220B1351201,53.35021802,-6.250526702,Bus Stop
8220DB004415,53.35053898,-6.2503483210000015,Bus Stop
8220DB001500,53.35103959,-6.250162577999999,Bus Stop
8220000432,53.31258441,-6.201563611,Bus Stop
8220000431,53.31279621,-6.201899898,Bus Stop
8220000430,53.32567589,-6.207243322,Bus Stop
8220000429,53.32561617,-6.207456005,Bus Stop
8220000428,53.33214934,-6.210365252000001,Bus Stop
8220000427,53.33207164,-6.210578715,Bus Stop
8220DB000770,53.31463619,-6.225731811,Bus Stop
8220DB007608,53.35282373,-6.257225072000001,Bus Stop
8220DB007590,53.35260728,-6.257789725,Bus Stop
8220000415,53.3834495,-6.243962934,Bus Stop
8220000410,53.34002044,-6.2581677560000015,Bus Stop
8220000409,53.34002745,-6.258648039,Bus Stop
8220B1353301,53.34013437,-6.2585836110000015,Bus Stop
8220000408,53.34721278,-6.260758431,Bus Stop
8220000390,53.32031492,-6.233482017,Bus Stop
8220000389,53.31997789,-6.233180712,Bus Stop
8220000386,53.33723056,-6.239555502000001,Bus Stop
8220000384,53.32629197,-6.242603177,Bus Stop
8220000383,53.32555243,-6.241822888,Bus Stop
8220000382,53.3296294,-6.2489070510000015,Bus Stop
8220000381,53.32881799,-6.247513971,Bus Stop
8220000380,53.33547031,-6.256175849,Bus Stop
8220000379,53.33535617,-6.2563607,Bus Stop
8220000377,53.33119942,-6.252386204,Bus Stop
8220000376,53.36387318,-6.257435245,Bus Stop
8220000375,53.36297031,-6.258388667999999,Bus Stop
8220000372,53.35079068,-6.226003017000001,Bus Stop
8220DB001359,53.34439941,-6.26136859,Bus Stop
8220000370,53.34439963,-6.261383601,Bus Stop
8220DB004522,53.34426249,-6.26060818,Bus Stop
8220DB001279,53.34426049,-6.261704666,Bus Stop
8220DB001278,53.34423662,-6.261300117999999,Bus Stop
8220PB002155,53.34423684,-6.261315128,Bus Stop
8220DB004521,53.34430106,-6.260171051,Bus Stop
8220000302,53.38624023,-6.296993292000001,Bus Stop
8220DB006060,53.35177799,-6.2613236510000005,Bus Stop
8220000289,53.34347758,-6.285241171,Bus Stop
8220VIR07146,53.34164802,-6.2867713620000005,Bus Stop
8220000277,53.34298021,-6.272570278,Bus Stop
8220000276,53.37151275,-6.226299134,Bus Stop
8220000268,53.35617782,-6.258560506,Bus Stop
8220DB002498,53.34824354,-6.250111877999999,Bus Stop
