,Luas_quantity,Bus_quantity,Train_quantity,PS_quantity,SS_quantity,Garda_quantity,Price,VAT_exclusive,Longitude,Latitude,New_Dwelling_House_Apartment,Second_Hand_Dwelling_House_Apartment
169,0,52,0,2,3,0,484581.49,1,-6.2329385,53.2997351,1,0
170,0,26,1,2,0,0,545000.0,0,-6.3549138,53.374626600000006,0,1
171,6,81,0,1,2,1,230000.0,0,-6.2988386,53.3314791,0,1
172,0,26,0,3,1,0,248050.0,0,-6.349255599999999,53.2718808,0,1
173,0,52,0,3,5,1,680000.0,0,-6.2852815,53.30078889999999,0,1
174,0,67,2,5,2,0,530000.0,0,-6.2256572,53.32857779999999,0,1
175,0,67,2,5,2,0,500000.0,0,-6.2256572,53.32857779999999,0,1
176,12,89,1,2,1,1,240000.0,0,-6.3008189,53.3405581,0,1
177,0,15,0,1,1,0,260000.0,0,-6.095533799999999,53.5214201,0,1
178,0,109,0,6,2,0,210000.0,0,-6.2890401,53.38430110000001,0,1
179,0,23,1,3,1,0,1325000.0,0,-6.1046996,53.2810645,0,1
180,0,52,0,6,0,0,1300000.0,0,-6.2003013,53.36375379999999,0,1
181,0,15,0,1,0,0,650000.0,0,-6.1376742,53.4444219,0,1
182,0,87,0,1,2,1,340000.0,0,-6.2985721,53.3282691,0,1
183,2,49,0,4,1,1,341000.0,0,-6.2440924,53.28056170000001,0,1
184,4,29,0,1,1,0,419525.0,1,-6.2162705,53.25827370000001,1,0
185,0,20,1,2,3,0,360000.0,0,-6.400893,53.375165,0,1
186,0,17,0,1,0,0,120000.0,0,-6.500521599999999,53.3000209,0,1
187,0,63,0,4,3,1,824385.0,0,-6.2884225,53.3074985,0,1
188,0,18,0,4,1,0,246697.0,1,-6.3810975,53.2705155,1,0
190,0,74,0,2,1,1,501000.0,0,-6.1439107,53.2670852,0,1
191,0,49,2,2,0,1,142500.0,0,-6.1434282,53.2934524,0,1
192,0,27,0,3,0,0,262115.0,1,-6.4426823,53.335520900000006,1,0
193,0,16,0,1,0,0,270000.0,0,-6.1029328000000005,53.52702579999999,0,1
194,0,54,0,4,2,0,330000.0,0,-6.230795099999999,53.4655348,0,1
195,0,15,0,2,1,0,1400000.0,0,-6.3634741,53.36892679999999,0,1
196,0,42,1,2,2,0,211453.74,0,-6.1534481,53.4013014,0,1
197,0,16,1,4,0,0,370000.0,0,-6.1405203,53.3864042,0,1
198,0,42,2,2,0,1,405000.0,0,-6.1388897,53.294464100000006,0,1
199,4,40,0,0,0,0,1055000.0,0,-6.1914088,53.2734067,0,1
200,0,6,0,1,0,0,750000.0,0,-6.4440449,53.3108658,0,1
201,0,19,0,4,0,1,132000.0,0,-6.2041010000000005,53.6125615,0,1
202,0,0,0,0,0,0,665000.0,0,-6.2203097000000005,53.5107765,0,1
203,0,46,2,2,0,0,208000.0,0,-6.1460148,53.2954215,0,1
204,16,218,0,10,4,2,220000.0,0,-6.2694322,53.3521307,0,1
205,0,38,0,2,1,0,155000.0,0,-6.2267149,53.3994154,0,1
206,0,55,0,6,3,0,325000.0,0,-6.237323,53.3727057,0,1
207,0,25,0,2,0,0,270000.0,0,-6.245834400000001,53.2686017,0,1
208,4,24,0,4,0,0,230000.0,0,-6.3665483,53.3106581,0,1
209,13,139,0,7,3,1,180000.0,0,-6.274621700000001,53.3509105,0,1
210,0,55,1,7,1,0,625000.0,0,-6.195373,53.3664993,0,1
211,0,38,0,2,2,0,190000.0,0,-6.2297944,53.4695984,0,1
212,0,44,1,5,2,1,550660.8,1,-6.217902400000001,53.3625989,1,0
213,0,38,2,2,3,1,435000.0,0,-6.1787672,53.3022189,0,1
214,0,81,2,3,2,1,325000.0,0,-6.2314756,53.3314552,0,1
215,0,61,0,3,1,0,575000.0,0,-6.1660374,53.2790241,0,1
216,6,57,0,3,2,1,1155000.0,0,-6.2619101,53.31451920000001,0,1
217,0,26,0,3,0,0,275869.18,1,-6.4421859,53.3357609,1,0
218,0,42,0,2,2,0,435000.0,0,-6.309306299999999,53.2764034,0,1
219,0,51,0,3,1,0,536000.0,0,-6.313185,53.3087827,0,1
220,6,94,0,7,2,0,190000.0,0,-6.2856635,53.3367816,0,1
221,0,63,0,5,1,1,435000.0,0,-6.2770123,53.3942036,0,1
222,0,33,1,2,3,0,330000.0,0,-6.3963195,53.37677420000001,0,1
223,0,22,0,0,0,1,255000.0,0,-6.126393599999999,53.22634620000001,0,1
224,0,57,2,0,2,0,815000.0,0,-6.2183356,53.3195681,0,1
225,0,54,1,2,3,0,375000.0,0,-6.1670883000000005,53.29181260000001,0,1
226,0,16,0,2,0,0,260162.59,1,-6.1643169,53.4079948,1,0
227,0,50,0,3,0,0,531777.0,0,-6.279513099999999,53.2869207,0,1
228,0,29,0,5,2,0,260000.0,1,-6.4281929,53.4000524,1,0
229,2,50,0,2,1,0,280000.0,0,-6.259299,53.2957819,0,1
230,6,76,0,2,1,1,428000.0,0,-6.3123989,53.3394211,0,1
231,0,32,2,1,0,0,395000.0,0,-6.3329364,53.3759925,0,1
232,0,76,0,3,4,1,170000.0,0,-6.3103238,53.3849245,0,1
233,0,65,0,5,2,1,300000.0,0,-6.229998999999999,53.4594446,0,1
234,4,97,0,7,1,0,475000.0,0,-6.282139,53.3611595,0,1
235,2,87,0,11,2,0,267000.0,0,-6.2925182,53.3604215,0,1
236,0,20,0,5,1,0,246696.0,1,-6.380987999999999,53.2707681,1,0
237,0,40,0,3,2,0,375000.0,0,-6.261949400000001,53.2898914,0,1
238,13,227,4,5,2,2,370500.0,0,-6.2446272,53.3498134,0,1
239,0,33,2,2,1,1,375000.0,0,-6.122031,53.2857897,0,1
240,0,21,0,3,1,1,300000.0,0,-6.161446700000001,53.5235914,0,1
241,0,44,0,4,2,0,710000.0,0,-6.2027657,53.29790260000001,0,1
242,13,94,1,9,2,1,420000.0,0,-6.2790655,53.3488517,0,1
243,11,92,0,8,2,1,160000.0,0,-6.277724299999999,53.3511412,0,1
244,13,139,0,7,3,1,165000.0,0,-6.274621700000001,53.3509105,0,1
245,8,77,0,3,1,0,175000.0,0,-6.3190585,53.33890649999999,0,1
246,13,264,3,6,5,3,275000.0,0,-6.2576408,53.3555628,0,1
247,2,116,0,6,5,1,167000.0,0,-6.2421346,53.3265334,0,1
248,0,47,0,4,0,0,342500.0,0,-6.192180400000001,53.2922064,0,1
250,0,25,1,3,2,0,255506.0,1,-6.4342277,53.3900822,1,0
252,0,24,0,2,3,0,276652.0,1,-6.167402500000001,53.4059931,1,0
253,0,25,1,0,2,0,397500.0,0,-6.3910538,53.3742564,0,1
