ID,Latitude,Longitude,Type
8220DB006060,53.35177799,-6.2613236510000005,Bus Stop
8220000289,53.34347758,-6.285241171,Bus Stop
8220VIR07146,53.34164802,-6.2867713620000005,Bus Stop
8220000277,53.34298021,-6.272570278,Bus Stop
8220000276,53.37151275,-6.226299134,Bus Stop
8220000268,53.35617782,-6.258560506,Bus Stop
8220DB002498,53.34824354,-6.250111877999999,Bus Stop
8220000214,53.34822844,-6.250307765,Bus Stop
8220B1352702,53.34825626,-6.250366708,Bus Stop
8220000262,53.31990759,-6.233288692,Bus Stop
8220B1353002,53.33332753,-6.254086032000001,Bus Stop
8220000255,53.32972821,-6.248903004,Bus Stop
8220B1021701,53.32971069,-6.24893375,Bus Stop
8220DB007611,53.34734131,-6.236450249,Bus Stop
8220000248,53.35233952,-6.261616257999999,Bus Stop
8220000246,53.35174614,-6.249923327,Bus Stop
8220000245,53.38219229,-6.291728116,Bus Stop
8220000243,53.34584027,-6.275804055,Bus Stop
8220DB000494,53.34143558,-6.251682252,Bus Stop
8220000242,53.34775307,-6.242426444,Bus Stop
8220DB001490,53.36887682,-6.228557662,Bus Stop
8220DB001491,53.36846776,-6.22764291,Bus Stop
8220B007612,53.34134678,-6.25052948,Bus Stop
8220DB004839,53.34155096,-6.250355919,Bus Stop
8220000233,53.34155096,-6.250355919,Bus Stop
8220000228,53.32648224,-6.225705658,Bus Stop
8220DB000318,53.34641771,-6.259243736,Bus Stop
8220DB006032,53.35205954,-6.260290695,Bus Stop
8220DB004508,53.35225235,-6.259952357,Bus Stop
8220DB000286,53.35200038,-6.260548478,Bus Stop
8220DB000278,53.35135317,-6.261160681000002,Bus Stop
8220DB001737,53.36285802,-6.219716721,Bus Stop
8220DB001741,53.3631169,-6.220802823,Bus Stop
8220DB001349,53.33238573,-6.270881322999999,Bus Stop
8220DB000997,53.39416657,-6.211493093,Bus Stop
8220DB000968,53.39375895,-6.210683163,Bus Stop
8220DB000994,53.39789601,-6.2228860510000015,Bus Stop
8220DB000970,53.39771994,-6.223133999,Bus Stop
8220DB000971,53.39769232,-6.223090036,Bus Stop
8220DB005060,53.39716701,-6.224029241,Bus Stop
8220DB006078,53.39724178,-6.224221621,Bus Stop
8220DB000967,53.39229206,-6.206369142000001,Bus Stop
8220DB001004,53.39063816,-6.186140449,Bus Stop
8220DB000963,53.39051027,-6.186596959,Bus Stop
8220DB000964,53.39007339999999,-6.19216365,Bus Stop
8220DB000966,53.3912154,-6.202911049,Bus Stop
8220DB000977,53.39027765,-6.2883220789999985,Bus Stop
8220DB000979,53.38995381,-6.2971006360000015,Bus Stop
8220DB000972,53.39699604,-6.234923799,Bus Stop
8220DB001028,53.30849911,-6.2557146810000015,Bus Stop
8220DB001062,53.30825963,-6.255319266,Bus Stop
8220DB001027,53.30873794,-6.257910941,Bus Stop
8220DB001063,53.30857208,-6.258863118,Bus Stop
8220DB001064,53.30942914,-6.2609292210000005,Bus Stop
8220DB001026,53.30910577,-6.260327082000001,Bus Stop
8220DB001023,53.31704619,-6.264912289,Bus Stop
8220DB001024,53.31585234,-6.265020756,Bus Stop
8220DB001065,53.31182902,-6.26278268,Bus Stop
8220DB001025,53.31159987,-6.262476822999999,Bus Stop
8220DB001018,53.32757099,-6.264890547,Bus Stop
8220DB001071,53.32721804,-6.2647247120000005,Bus Stop
8220DB001072,53.33102697,-6.264585114,Bus Stop
8220DB001016,53.33115931,-6.26441458,Bus Stop
8220DB001067,53.31705077,-6.265227306,Bus Stop
8220DB001007,53.39124628,-6.17238673,Bus Stop
8220DB001003,53.39029953,-6.1910715010000015,Bus Stop
8220DB001019,53.32654760000001,-6.264977117999999,Bus Stop
8220DB001070,53.32498018,-6.265355982999999,Bus Stop
8220DB001020,53.32513838,-6.265109364,Bus Stop
8220DB001021,53.32138025,-6.265652126,Bus Stop
8220DB001017,53.32929965,-6.264475065,Bus Stop
8220DB001013,53.33548151,-6.257556881,Bus Stop
8220DB001015,53.33273035,-6.259966355,Bus Stop
8220DB002412,53.31093522,-6.301823462000001,Bus Stop
8220DB007046,53.37649537,-6.332508399,Bus Stop
8220DB006361,53.4059486,-6.291799117999999,Bus Stop
8220DB006276,53.40609426,-6.29192865,Bus Stop
